,compound_name,cas_number,species,strain,dosage,avg_lifespan_change,max_lifespan_change,gender,significance,pubmed_id
1704,β-Santalol,77-42-9,Caenorhabditis elegans,N2,16 µM,25.38,25.0,,S,30319772
1703,β-Santalol,77-42-9,Caenorhabditis elegans,N2,64 µM,4.64,8.33,,S,30319772
1699,β-Santalol,77-42-9,Caenorhabditis elegans,N2,4 µM,-2.73,0.0,,NS,30319772
1700,β-Santalol,77-42-9,Caenorhabditis elegans,N2,8 µM,2.66,8.33,,NS,30319772
1701,β-Santalol,77-42-9,Caenorhabditis elegans,N2,16 µM,12.56,25.0,,S,30319772
1702,β-Santalol,77-42-9,Caenorhabditis elegans,N2,32µM,3.78,8.33,,NS,30319772
1696,α‐linolenic acid,463-40-1,Caenorhabditis elegans,N2,10 mM,15.13,-4.34,,S,28772063
1697,α‐linolenic acid,463-40-1,Caenorhabditis elegans,N2,2 mM,10.49,4.35,,S,28772063
1698,α‐linolenic acid,463-40-1,Caenorhabditis elegans,N2,5 mM,28.67,8.7,,S,28772063
1695,α‐keto‐β‐methylvalerate,1460-34-0,Caenorhabditis elegans,N2,10 mM,20.77,,,S,26729005
1694,α‐ketoisovalerate,759-05-7,Caenorhabditis elegans,N2,10 mM,35.02,,,S,26729005
1688,α-Santalol,115-71-9,Caenorhabditis elegans,N2,4 µM,0.63,-4.16,,NS,30319772
1689,α-Santalol,115-71-9,Caenorhabditis elegans,N2,8 µM,2.57,-4.16,,NS,30319772
1690,α-Santalol,115-71-9,Caenorhabditis elegans,N2,16 µM,4.33,0.0,,NS,30319772
1691,α-Santalol,115-71-9,Caenorhabditis elegans,N2,32 µM,10.31,8.33,,S,30319772
1692,α-Santalol,115-71-9,Caenorhabditis elegans,N2,64 µM,0.94,0.0,,NS,30319772
1693,α-Santalol,115-71-9,Caenorhabditis elegans,N2,32 µM,18.04,8.33,,S,30319772
1687,ursolic acid,77-52-1,Caenorhabditis elegans,N2,25 µM,31.3,,,S,28673026
1686,ursolic acid,77-52-1,Caenorhabditis elegans,N2,25 µM,32.48,,,S,27773812
2708,ursolic acid,77-52-1,Drosophila melanogaster,w1118,50 µmol/L,12.78,,,S,30496629
1685,trans-zeatin,1637-39-4,Caenorhabditis elegans,N2,200 µM,-9.0,,,NS,29255944
1684,"trans-3,5-dimethoxy-4-fluoro-4'-hydroxystilbene",,Caenorhabditis elegans,N2,100 µM,3.63,4.76,,S,27882602
1683,"trans-2,40,5-trihydroxystilbene",,Caenorhabditis elegans,N2,100 µM,6.44,,,S,27882602
2707,sodium L-thiazolidine-4-carboxylate,,Drosophila melanogaster,Oregon-R,0.20%,8.0,4.0,MALE,S,118043
1682,phenylethanoid glycosides,,Caenorhabditis elegans,N2,500 µg/mL,15.98,,,S,29340230
1680,para-topolin,,Caenorhabditis elegans,N2,100 µM,8.0,,,S,29255944
1681,para-topolin,,Caenorhabditis elegans,N2,50 µM,5.0,,,NS,29255944
2706,p-fluorophenylalanine,51-65-0,Drosophila melanogaster,F1 hybrids between the B and K inbred lines,20 mM,,5.65,MALE,NS,5353613
